Date,Direction of Travel,Species
1/1/2011,IN,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,EURQUA
1/1/2011,OUT,EURQUA
1/1/2011,OUT,EURQUA
1/1/2011,OUT,NOTVIR
1/1/2011,IN,NOTVIR
1/1/2011,IN,NOTVIR
1/1/2011,IN,PSEORN
1/1/2011,IN,RANUTR
1/1/2011,IN,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,BUFTER
1/1/2011,IN,KINSUB
1/1/2011,OUT,NOTVIR
1/1/2011,OUT,PSEORN
1/1/2011,IN,PSEORN
1/1/2011,IN,PSEORN
1/1/2011,IN,RANUTR
1/1/2011,IN,RANUTR
1/2/2011,IN,ACRGRY
1/2/2011,IN,AMBBIS
1/2/2011,IN,AMBBIS
1/2/2011,IN,AMBBIS
1/2/2011,IN,AMBBIS
1/2/2011,OUT,AMBBIS
1/2/2011,IN,AMBBIS
1/2/2011,OUT,AMBBIS
1/2/2011,IN,AMBBIS
1/2/2011,IN,AMBBIS
1/2/2011,OUT,EURQUA
1/2/2011,OUT,EURQUA
1/2/2011,OUT,NOTVIR
1/2/2011,IN,PLEGRO
1/2/2011,IN,PSEORN
1/2/2011,IN,PSEORN
1/2/2011,IN,PSEORN
1/2/2011,IN,RANUTR
1/2/2011,IN,AMBBIS
1/2/2011,OUT,AMBBIS
1/2/2011,OUT,AMBBIS
1/2/2011,IN,PSEORN
1/2/2011,IN,RANUTR
1/2/2011,OUT,AMBBIS
1/2/2011,OUT,AMBBIS
1/2/2011,OUT,AMBBIS
1/2/2011,IN,NOTVIR
1/2/2011,OUT,NOTVIR
1/2/2011,OUT,NOTVIR
1/2/2011,IN,PSEORN
1/2/2011,,
1/2/2011,IN,NOTVIR
1/2/2011,IN,PSEORN
1/2/2011,IN,PSEORN
1/2/2011,OUT,PSEORN
1/2/2011,IN,PSEORN
1/2/2011,,
1/2/2011,,
1/3/2011,,
1/3/2011,,
1/3/2011,,
1/3/2011,,
1/3/2011,,
1/3/2011,,
1/4/2011,,
1/4/2011,,
1/4/2011,IN,THASAU
1/4/2011,,
1/4/2011,,
1/4/2011,,
1/5/2011,,
1/5/2011,,
1/5/2011,OUT,ACRGRY
1/5/2011,IN,ACRGRY
1/5/2011,IN,AMBBIS
1/5/2011,OUT,AMBBIS
1/5/2011,OUT,AMBBIS
1/5/2011,OUT,AMBBIS
1/5/2011,OUT,AMBBIS
1/5/2011,IN,CRAYFISH
1/5/2011,OUT,PSEORN
1/5/2011,OUT,PSEORN
1/5/2011,IN,PSEORN
1/5/2011,OUT,RANUTR
1/5/2011,OUT,ACRGRY
1/5/2011,OUT,ACRGRY
1/5/2011,OUT,PSEORN
1/5/2011,IN,RANUTR
1/5/2011,OUT,AMBBIS
1/5/2011,IN,AMBBIS
1/5/2011,OUT,AMBBIS
1/5/2011,IN,EURQUA
1/5/2011,OUT,PSEORN
1/5/2011,OUT,PSEORN
1/6/2011,IN,AMBBIS
1/6/2011,OUT,AMBBIS
1/6/2011,IN,EURQUA
1/6/2011,OUT,PSEORN
1/6/2011,IN,PSEORN
1/6/2011,OUT,AMBBIS
1/6/2011,IN,AMBBIS
1/6/2011,IN,PSEORN
1/6/2011,IN,PSEORN
1/6/2011,IN,PSEORN
1/6/2011,IN,PSEORN
1/6/2011,IN,PSEORN
1/6/2011,OUT,PSEORN
1/6/2011,OUT,AMBBIS
1/6/2011,IN,PSEORN
1/6/2011,IN,EURQUA
1/6/2011,OUT,EURQUA
1/6/2011,IN,EURQUA
1/6/2011,IN,AMBBIS
1/6/2011,IN,NOTVIR
1/6/2011,IN,PSEORN
1/6/2011,IN,ACRGRY
1/6/2011,IN,EURQUA
1/6/2011,IN,NOTVIR
1/6/2011,OUT,NOTVIR
1/6/2011,,
1/6/2011,,
1/9/2011,OUT,AMBBIS
1/9/2011,,
1/9/2011,,
1/9/2011,,
1/9/2011,,
1/9/2011,,
1/9/2011,,
1/10/2011,,
1/10/2011,,
1/10/2011,,
1/10/2011,OUT,CRYPAR
1/17/2011,,
1/17/2011,,
1/17/2011,,
1/17/2011,,
1/17/2011,,
1/17/2011,,
1/18/2011,,
1/18/2011,OUT,ACRGRY
1/18/2011,,
1/18/2011,IN,LAMELA
1/18/2011,IN,ACRGRY
1/18/2011,IN,NOTVIR
1/19/2011,OUT,ACRGRY
